,RF00005,RF01960,RF02541,RF01852,RF02796,RF00017,RF00167,RF01854,RF02543,RF00002,RF00168,RF00020,RF00001,RF00026,RF00004,RF00037,RF01750,RF00177,RF00023,RF02540,RF00458,RF01846,RF01734,RF00059,RF01051,RF00011,RF02545,RF00162,RF00100,RF01831,RF00505,RF01725,RF02546,RF00164,RF01786,RF00015,RF01510,RF00032,RF00010,RF00029,RF02680,RF00009,RF00050,RF02553,RF01357,RF01807,RF00379,RF01689,RF00233,RF00390,RF01763,RF00169,RF00008,RF00442,RF00061,RF02012,RF02683,RF02519,RF00382,RF01739,RF00504,RF00488,RF01857,RF00250,RF00080,RF00028,RF02001,RF01998,RF02348,RF00234,RF00013,RF01826,RF02253,RF00174,RF00380
10,4tue_1_XV_1-74,5wlc_1_L0_8-1807,4wf9_1_X_1-2923,5j7l_1_AA_1-91,,,3gao_1_A_1-67,,6qzp_1_L5_3-5069,6qzp_1_L5_2-154,3dim_1_A_4-173,6id1_1_B_1-116,4wfn_1_Y_5-121,5gan_1_V_10-112,5zwo_1_F_5-116,,,5xyu_1_A_5-1526,,3g6e_1_0_1-2923,,,,2gdi_1_X_1-80,3ucu_1_R_3-90,,,2ydh_1_A_1-93,,3sd3_1_A_1-89,,,,,,6ahd_1_H_1-141,3slm_1_B_3-66,4tux_1_C_3-26,,,,,,,,,6n5s_1_A_4-121,,,,5nz3_1_B_1-41,2xxa_1_F_4-102,5dh8_1_A_1-48,,,,,,4dr2_1_A_20-55,,3owi_1_B_1-88,,,,,6d8l_1_A_1-237,4y1o_1_B_89-261,4y1o_1_B_253-331,,4meg_1_B_1-126,,,,,
11,2du3_1_D_1-71,5wlc_1_L2_8-1807,5hl7_1_X_1-2923,4ybb_1_AA_1-91,,,3ger_1_A_1-67,,6qzp_1_L8_3-5069,6qzp_1_L8_2-154,3dj0_1_A_4-173,6ahd_1_B_1-116,3pip_1_Y_5-121,5gan_1_W_10-112,6j6g_1_L_5-116,,,5j7l_1_DA_1-1528,,3g71_1_0_1-2923,,,,2gdi_1_Y_1-80,3iwn_1_A_1-91,,,3gx2_1_A_1-93,,3sd1_1_A_1-89,,,,,,6ahd_1_F_1-141,3skz_1_A_3-66,,,,,,,,,,6n5o_1_A_4-121,,,,5o62_1_B_1-41,2xxa_1_G_4-102,5eaq_1_A_1-48,,,,,,4lf9_1_A_20-55,,3oww_1_A_1-88,,,,,6d8l_1_B_1-237,4e8p_1_A_87-259,4e8p_1_A_257-326,,3b4c_1_B_1-125,,,,,
12,2du4_1_C_1-71,3j7p_1_S2_1-1742,4wfa_1_X_1-2923,5j8a_1_AA_1-91,,,2ees_1_A_1-67,,6ek0_1_L5_3-5069,6ek0_1_L5_2-154,3d0u_1_A_1-160,6j6g_1_D_55-178,5dm7_1_Y_4-120,3jb9_1_N_1-99,6j6g_1_E_5-116,,,5j8a_1_DA_1-1528,,3cd6_1_0_1-2923,,,,4nya_1_A_1-80,3iwn_1_B_1-91,,,3gx6_1_A_1-93,,,,,,,,5zwm_1_H_1-160,3slm_1_A_3-66,,,,,,,,,,6n5l_1_A_4-121,,,,5o69_1_B_1-41,,,,,,,,4y4o_1_1a_20-55,,3oww_1_B_1-88,,,,,6d8n_1_B_1-237,4e8t_1_A_87-259,4e8t_1_A_257-326,,4meh_1_B_1-126,,,,,
13,2du5_1_D_1-71,3j7r_1_S2_1-1742,5hkv_1_X_1-2923,5jc9_1_AA_1-91,,,3gog_1_A_1-67,,6ek0_1_L8_3-5069,6ek0_1_L8_2-154,3d0x_1_A_1-160,6bk8_1_5_55-178,3dll_1_Z_5-121,3jb9_1_P_1-99,5lj3_1_Z_5-116,,,5jc9_1_DA_1-1528,,2qex_1_0_1-2772,,,,2hoj_1_A_2-81,4yaz_1_R_4-79,,,4kqy_1_A_2-118,,,,,,,,5zwm_1_I_1-160,3slq_1_A_3-66,,,,,,,,,,4qk9_1_A_3-122,,,,,,,,,,,,4lf6_1_A_20-55,,3ox0_1_A_1-88,,,,,6d8n_1_A_1-237,5j01_1_A_83-255,5j01_1_A_253-322,,2h0s_1_B_1-125,,,,,
14,2du6_1_D_1-71,6qzp_1_S2_1-1869,4wce_1_X_1-2923,4woi_1_DA_1-91,,,3ds7_1_A_1-67,,6ole_1_t_3-5069,6ole_1_t_2-154,4erl_1_A_1-160,5gmk_1_D_55-178,3jq4_1_B_2-118,5zwo_1_H_11-112,5lj3_1_V_5-116,,,4ybb_1_DA_1-1528,,3ccm_1_0_1-2923,,,,2hom_1_A_2-81,4yaz_1_A_4-79,,,3npb_1_A_2-118,,,,,,,,5zwm_1_F_1-160,3skz_1_B_3-66,,,,,,,,,,4qlm_1_A_5-124,,,,,,,,,,,,4lf4_1_A_20-55,,3oxj_1_A_1-88,,,,,1x8w_1_A_1-237,4faw_1_A_87-259,4faw_1_A_257-326,,3g9c_1_Q_1-141,,,,,
15,6hcj_1_q3_1-71,6ek0_1_S2_1-1869,4wfb_1_X_1-2923,4woi_1_AA_1-91,,,2eet_1_A_1-67,,6ole_1_D_3-5069,6ole_1_D_2-154,4erj_1_A_1-160,5y88_1_B_55-178,1y69_1_9_5-121,5zwo_1_I_11-112,6j6h_1_L_5-116,,,5it8_1_DA_1-1528,,3i56_1_0_1-2923,,,,2hol_1_A_2-81,4yb0_1_R_3-78,,,5fjc_1_A_1-93,,,,,,,,,3slq_1_B_3-66,,,,,,,,,,4qln_1_A_5-124,,,,,,,,,,,,4y4o_1_2a_20-55,,3ox0_1_B_1-88,,,,,1x8w_1_D_1-237,3eoh_1_A_84-256,3eoh_1_A_254-323,,2nz4_1_Q_1-141,,,,,
16,5tcu_1_D_1-73,6om0_1_S2_1-1869,5nrg_1_X_1-2923,5it8_1_AA_1-91,,,3fo4_1_A_1-67,,6om0_1_t_3-5069,6om0_1_t_2-154,,6exn_1_5_55-178,3fwo_1_B_2-118,5zwo_1_F_11-112,6j6h_1_E_5-116,,,4woi_1_BA_1-1528,,2otl_1_0_1-2922,,,,4nyc_1_A_2-81,4yb0_1_A_3-78,,,5fk4_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dr5_1_A_20-55,,3oxj_1_B_1-88,,,,,1x8w_1_B_1-237,4faq_1_A_89-261,4faq_1_A_259-328,,3g9c_1_R_1-141,,,,,
17,5tcu_1_E_1-73,6ole_1_S2_1-1869,6s0z_1_A_1-2923,4v9p_1_FA_1-91,,,2eev_1_A_1-67,,6om0_1_D_3-5069,6om0_1_D_2-154,,5ylz_1_B_55-178,2zjr_1_Y_5-121,6ff4_1_6_1-107,6j6n_1_L_5-116,,,4woi_1_CA_1-1528,,3ccs_1_0_1-2923,,,,4nyd_1_A_2-81,,,,4b5r_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4khp_1_A_20-55,,3owz_1_B_1-88,,,,,1l8v_1_B_1-237,4e8r_1_A_87-259,4e8r_1_A_257-326,,2nz4_1_R_1-141,,,,,
18,5imq_1_5_1-73,6olg_1_B1_1-1869,6hma_1_A_1-2923,4v9o_1_BA_1-91,,,3ds7_1_B_1-67,,6oli_1_t_3-5069,6oli_1_t_2-154,,6j6h_1_D_55-178,3cf5_1_Z_5-121,6id0_1_F_1-107,6j6n_1_E_5-116,,,6i7v_1_DA_1-1528,,1yjn_1_0_1-2922,,,,4nya_1_B_1-80,,,,5fk3_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4v9h_1_AA_20-55,,3p49_1_A_83-169,,,,,1l8v_1_A_1-237,4y1n_1_B_89-261,4y1n_1_B_253-331,,3g9c_1_S_1-141,,,,,
19,5mmm_1_z_1-73,6oli_1_S2_1-1869,6s0x_1_A_1-2923,5j7l_1_BA_1-91,,,5c7u_1_B_1-67,,6oli_1_D_3-5069,6oli_1_D_2-154,,5lj3_1_U_55-178,2zjq_1_Y_4-120,6id0_1_H_1-107,6j6q_1_L_5-116,,,5j91_1_DA_1-1528,,1yj9_1_0_1-2922,,,,4nyb_1_A_2-81,,,,5fk2_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dv6_1_A_20-55,,,,,,,1gid_1_B_1-237,3g78_1_A_84-256,3g78_1_A_254-323,,2nz4_1_P_1-141,,,,,
20,5aj0_1_Bv_1-73,6g18_1_2_1-1869,5ngm_1_AA_1-2923,4v9p_1_HA_1-91,,,3fo6_1_A_1-67,,6olg_1_A2_3-5069,6olg_1_A2_2-154,,5mps_1_5_55-178,2zjp_1_Z_5-121,6j6g_1_L_10-112,6j6q_1_E_5-116,,,4v9p_1_EA_1-1528,,3cc4_1_0_1-2923,,,,2hoo_1_A_2-81,,,,5fkf_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ji7_1_A_20-55,,,,,,,1gid_1_A_1-237,4e8m_1_A_87-259,4e8m_1_A_257-326,,3g96_1_R_1-141,,,,,
21,5aj0_1_Bw_1-73,6g5i_1_2_1-1869,6ddg_1_1_1-2923,4v9p_1_DA_1-91,,,3g4m_1_A_1-67,,6olg_1_A3_3-5069,6olg_1_A3_2-154,,6j6n_1_D_55-178,5dm8_1_Y_2-121,6j6g_1_E_10-112,6qw6_1_4_1-188,,,5j88_1_DA_1-1528,,3ccq_1_0_1-2923,,,,2hok_1_A_2-81,,,,5fk6_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fdv_1_2a_20-55,,,,,,,1y0q_1_A_1-192,4y1n_1_A_89-261,4y1n_1_A_253-331,,3g8s_1_Q_1-141,,,,,
22,3j7r_1_S5_1-71,4ug0_1_S2_1-1869,6ddd_1_1_1-2923,4v9p_1_BA_1-91,,,3ges_1_A_1-67,,5t2c_1_A_3-5069,5t2c_1_A_2-154,,6j6q_1_D_55-178,1sm1_1_9_5-121,5lj3_1_Z_10-112,6qx9_1_4_1-188,,,4v9p_1_CA_1-1528,,1yit_1_0_1-2922,,,,4nyg_1_A_2-81,,,,5fk1_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4x62_1_A_20-55,,,,,,,,4ds6_1_A_91-263,4ds6_1_A_261-330,,2nz4_1_S_1-141,,,,,
23,6fyy_1_1_1-72,6ip8_1_2m_1-1869,6s12_1_A_1-2923,5j8a_1_BA_1-91,,,2b57_1_A_1-65,,5t2c_1_C_3-5069,5t2c_1_C_2-154,,5wsg_1_D_55-178,1nkw_1_9_5-121,5lj3_1_V_10-112,6ahd_1_I_1-188,,,4v9p_1_GA_1-1528,,3cc2_1_0_1-2923,,,,2hop_1_A_2-81,,,,5fkd_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fdv_1_1a_20-55,,,,,,,,3eog_1_A_84-256,3eog_1_A_254-323,,3g9c_1_P_1-141,,,,,
24,6fyx_1_1_1-72,6ip5_1_2m_1-1869,5t7v_1_B_1-2919,4v9o_1_FA_1-91,,,2eew_1_A_1-67,,6om7_1_t_3-5069,6om7_1_t_2-154,,5gan_1_U_55-178,1nwy_1_9_5-121,6j6h_1_L_10-112,6ahd_1_H_1-188,,,4v9p_1_AA_1-1528,,1kqs_1_0_1-2922,,,,,,,,5fkh_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dv7_1_A_20-55,,,,,,,,3bwp_1_A_84-256,3bwp_1_A_254-323,,3g96_1_Q_1-141,,,,,
25,3j81_1_1_1-72,6g5h_1_2_1-1868,5nd8_1_A_1-2918,5j91_1_AA_1-91,,,2eeu_1_A_1-67,,6om7_1_D_3-5069,6om7_1_D_2-154,,5gam_1_U_55-178,1xbp_1_9_5-121,6j6h_1_E_10-112,6ahd_1_F_1-188,,,4v9d_1_CA_1-1528,,2otj_1_0_1-2922,,,,,,,,5fkg_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fdu_1_2a_20-55,,,,,,,,4e8v_1_A_87-259,4e8v_1_A_257-326,,3g8s_1_R_1-141,,,,,
26,4v90_1_AV_1-73,6om7_1_S2_1-1869,5nd9_1_A_1-2923,6i7v_1_AA_1-91,,,5c7w_1_C_1-67,,4ug0_1_L5_3-5069,4ug0_1_L5_2-154,,3jb9_1_C_8-120,1nwx_1_9_5-121,6j6n_1_L_10-112,6bk8_1_2_5-116,,,4v9o_1_AA_1-1528,,3ccr_1_0_1-2923,,,,,,,,5fke_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fdu_1_1a_20-55,,,,,,,,,,,3l3c_1_Q_1-141,,,,,
27,4wt8_1_C3_1-73,6olz_1_B1_1-1869,5li0_1_A_1-2918,4v6c_1_AA_1-91,,,2xo1_1_A_3-65,,4ug0_1_L8_3-5069,4ug0_1_L8_2-154,,,4v9f_1_9_1-121,6j6n_1_E_10-112,6bk8_1_6_5-116,,,4v9o_1_EA_1-1528,,3cc7_1_0_1-2923,,,,,,,,5fk5_1_A_1-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5wnu_1_A_20-55,,,,,,,,,,,3l3c_1_R_1-141,,,,,
28,5j8b_1_y_1-73,5aj0_1_B1_1-1869,5tcu_1_B_1-2923,5jc9_1_BA_1-91,,,1u8d_1_A_1-67,,6olf_1_t_3-5069,6olf_1_t_2-154,,,1s72_1_9_1-121,6j6q_1_L_10-112,6bk8_1_i_5-116,,,4www_1_RA_1-1528,,3g4s_1_0_1-2923,,,,,,,,3v7e_1_C_1-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dr3_1_A_20-55,,,,,,,,,,,3g96_1_P_1-141,,,,,
29,5j8b_1_w_1-73,6olf_1_S2_1-1869,6s13_1_A_1-2923,4v52_1_CA_1-91,,,5swd_1_B_2-70,,6olf_1_D_3-5069,6olf_1_D_2-154,,,1yi2_1_9_1-121,6j6q_1_E_10-112,6g90_1_2_1-143,,,4v9o_1_CA_1-1528,,3i55_1_0_1-2923,,,,,,,,3v7e_1_D_1-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4jya_1_A_20-55,,,,,,,,,,,3g96_1_S_1-141,,,,,
30,4wt8_1_D3_1-73,5a2q_1_2_1-1868,3u4m_1_B_1-80,4v9o_1_DA_1-91,,,5e54_1_B_2-70,,6ip5_1_1A_3-5069,6ip5_1_1A_2-154,,,1jj2_1_9_1-121,6qw6_1_4_1-107,5zwm_1_H_5-116,,,4v6c_1_BA_1-1528,,2qa4_1_0_1-2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5hcq_1_1a_20-55,,,,,,,,,,,3l3c_1_P_1-141,,,,,
